treatment_combo,effect estimate
A,-0.38000000000000056
B,-0.20499999999999996
C,-0.9700000000000003
D,-0.155
AB,-1.2799999999999998
AC,-0.19500000000000003
AD,-0.3300000000000002
BC,-1.8200000000000003
BD,-1.105
CD,0.5800000000000003
ABC,-0.09499999999999983
ABD,0.4700000000000003
ACD,-0.8950000000000001
BCD,-0.17000000000000023
ABCD,1.205
