frac_combo,frac_coeff,frac_coeff,P-value,Significance
constant,3.9725,20.197630854911573,0.0,True
A_BCD,-0.12499999999999986,-0.635545338417607,0.5281552916844405,False
B_ACD,-0.2500000000000002,-1.2710906768352166,0.20995145043254126,False
C_ABD,-0.5500000000000002,-2.7963994890374746,0.00746315684414256,True
D_ABC,-0.275,-1.398199744518737,0.16861660082990082,False
AB_CD,-0.35,-1.7795269475693014,0.08161988829099243,False
AC_BD,-0.65,-3.30483575977156,0.00182423287075828,True
AD_BC,-1.075,-5.465689910391426,1.7152641325068885e-06,True
